words,links,capital_words,spam_word_count,is_spam
134,2,22,9,1
70,2,0,1,0
375,3,23,9,1
106,2,5,10,1
350,7,13,8,1
132,6,14,7,1
627,8,8,6,1
193,2,3,1,0
257,0,2,2,0
188,2,9,3,0
90,7,17,8,1
142,5,4,2,1
115,1,2,0,0
44,0,0,2,0
364,0,1,0,0
284,1,3,2,0
456,5,13,2,1
126,1,3,0,0
290,8,6,7,1
134,0,2,5,0
75,1,0,2,0
94,0,1,2,0
294,7,27,3,1
209,3,0,0,0
236,1,10,2,0
185,3,3,3,0
321,6,23,8,1
810,7,8,9,1
83,4,2,0,0
56,4,30,8,1
48,0,1,5,0
59,5,3,1,0
137,2,0,0,0
241,2,10,2,0
103,0,0,1,0
233,1,0,1,0
37,1,9,1,0
237,3,1,0,0
331,0,3,2,0
52,10,2,2,1
171,4,3,0,0
383,8,0,0,1
59,1,3,2,0
105,2,8,0,0
328,10,1,4,1
66,3,18,8,1
240,1,1,1,0
121,6,20,9,1
134,8,21,1,1
438,3,1,3,1
248,2,1,2,0
159,5,0,2,0
120,3,20,4,1
370,0,2,2,0
170,2,11,10,1
255,8,21,9,1
244,5,7,3,1
395,4,6,10,1
117,2,29,9,1
123,3,5,4,1
164,3,0,2,0
29,1,1,1,0
175,2,3,1,0
482,6,10,4,1
661,4,21,4,1
107,4,18,8,1
951,0,14,5,1
184,9,28,7,1
237,0,3,2,0
130,2,0,0,0
343,4,13,7,1
296,0,0,5,0
704,5,30,2,1
35,5,1,1,0
899,2,21,7,1
143,4,5,4,1
274,1,3,1,0
245,5,2,0,0
679,7,14,7,1
299,8,0,10,1
799,2,5,8,1
243,8,30,7,1
272,0,3,0,0
131,0,2,0,0
258,0,2,2,0
149,6,25,5,1
474,2,3,0,0
325,6,3,8,1
111,1,3,1,0
259,3,3,3,0
841,9,1,1,1
88,3,2,2,0
67,8,23,7,1
226,4,8,9,1
267,1,4,1,0
425,1,0,0,0
90,1,3,2,0
110,1,18,9,1
304,1,7,0,0
599,7,9,9,1
54,2,3,2,0
32,1,3,1,0
679,3,16,5,1
153,3,30,3,1
199,2,2,0,0
87,0,3,1,0
33,2,0,5,0
105,1,2,0,0
605,7,16,7,1
211,5,3,1,0
579,9,17,7,1
114,8,0,3,1
316,3,3,5,1
178,7,19,9,1
715,8,14,7,1
150,1,10,1,0
756,3,28,9,1
696,6,28,8,1
157,3,13,9,1
959,2,30,6,1
205,0,0,2,0
145,2,2,0,0
892,7,3,4,1
383,1,1,0,0
97,0,3,0,0
233,1,2,0,0
143,4,21,2,1
889,2,24,10,1
573,5,27,4,1
218,1,3,2,0
724,6,0,10,1
270,4,1,1,0
229,1,3,2,0
177,2,2,1,0
204,2,3,0,0
363,0,2,0,0
218,1,1,1,0
655,1,28,3,1
215,2,1,1,0
448,9,10,9,1
132,3,8,5,1
108,4,3,0,0
215,1,1,0,0
256,4,3,8,1
741,2,21,8,1
263,1,3,1,0
691,3,26,3,1
975,8,20,5,1
350,7,22,7,1
170,0,2,1,0
649,1,19,10,1
206,0,0,4,0
299,0,2,0,0
593,4,20,3,1
296,2,1,1,0
283,0,2,2,0
151,4,0,6,1
161,4,4,1,1
273,1,0,2,0
612,8,28,9,1
451,10,30,6,1
182,1,1,1,0
137,2,30,10,1
137,7,3,1,1
174,1,0,4,1
162,2,3,5,0
195,5,1,1,0
178,0,8,2,0
693,9,26,2,1
233,4,8,2,0
137,0,3,1,0
610,8,20,5,1
207,6,2,5,1
275,1,0,0,0
791,3,22,7,1
45,0,2,0,0
273,2,2,5,0
213,2,3,3,0
266,0,0,0,0
219,2,9,2,0
513,5,21,8,1
884,9,30,10,1
251,8,10,9,1
49,0,2,4,0
234,2,5,1,0
42,1,1,2,0
351,4,27,2,1
182,4,7,8,1
777,2,5,4,1
430,1,2,0,0
544,1,15,5,1
881,5,26,4,1
213,2,10,4,0
172,0,0,3,0
68,1,3,0,0
180,0,25,10,1
114,4,6,7,1
721,5,19,1,1
651,10,1,9,1
962,10,8,3,1
31,1,2,1,0
128,4,2,5,0
184,1,2,0,0
706,4,6,7,1
645,2,9,3,1
183,2,0,1,0
191,0,3,2,0
401,0,1,0,0
376,8,19,8,1
156,0,0,2,0
197,10,21,8,1
583,4,19,4,1
254,0,0,1,0
243,2,1,2,0
362,8,23,8,1
93,0,3,2,0
181,2,3,1,0
95,1,3,1,0
330,1,3,3,1
124,2,29,5,1
759,5,2,5,1
978,6,3,3,1
294,2,3,5,0
170,10,26,6,1
445,2,3,2,0
992,1,18,1,1
222,2,0,0,0
130,2,1,6,0
419,8,8,6,1
55,7,22,10,1
414,8,11,10,1
117,2,0,2,0
65,5,2,2,0
957,1,9,2,1
638,6,21,1,1
124,9,7,5,1
764,10,23,3,1
402,2,3,2,0
434,8,20,9,1
997,6,6,7,1
919,0,16,8,1
154,7,21,8,1
484,0,28,4,1
74,1,3,0,0
228,1,0,0,0
830,8,5,10,1
451,2,5,3,1
165,1,1,1,0
135,5,3,0,0
275,8,1,6,1
189,5,5,7,1
200,2,2,5,0
259,1,3,0,0
290,1,7,1,0
218,3,12,10,1
405,1,3,2,0
383,10,10,1,1
578,9,21,10,1
732,10,18,8,1
380,4,4,7,1
164,1,2,5,0
739,2,23,10,1
62,0,3,2,0
158,2,21,1,1
284,2,3,4,0
473,10,11,4,1
383,0,19,4,1
862,3,5,5,1
808,5,4,4,1
868,7,3,9,1
181,2,1,2,0
624,9,11,9,1
218,2,0,4,0
573,10,30,3,1
761,2,2,6,1
195,4,0,2,0
170,6,25,1,1
218,0,1,6,1
35,0,1,1,0
172,2,11,10,1
82,1,3,2,0
202,1,1,2,0
830,5,29,5,1
314,8,28,2,1
128,5,4,3,1
640,3,16,2,1
344,9,1,1,1
663,8,21,6,1
22,0,3,3,0
364,6,20,3,1
459,2,0,1,0
835,10,4,8,1
80,0,2,2,0
299,1,8,2,0
115,1,5,0,0
209,4,2,4,1
125,8,28,10,1
156,8,24,2,1
149,1,0,0,0
200,3,2,0,0
251,1,0,0,0
573,2,27,5,1
87,1,3,1,0
99,0,0,2,0
791,2,30,1,1
457,0,2,0,0
142,0,1,10,1
731,10,0,8,1
309,3,3,10,1
195,2,28,3,1
298,0,2,0,0
369,2,4,6,0
91,3,3,0,0
240,0,2,0,0
54,1,6,0,0
338,2,2,0,0
172,9,2,6,1
686,8,14,10,1
130,5,13,4,1
198,4,27,10,1
89,2,2,2,0
171,1,7,0,0
995,10,7,9,1
220,2,2,1,0
228,1,0,2,0
225,4,10,2,0
100,0,2,6,0
869,3,26,6,1
140,1,3,4,0
285,0,1,0,0
60,1,0,0,0
396,8,24,2,1
505,10,3,6,1
484,2,1,3,0
242,2,3,0,0
940,2,9,2,1
131,8,10,3,1
565,7,15,5,1
106,1,3,0,0
270,0,1,1,0
143,5,26,4,1
336,4,2,0,0
133,1,2,2,0
269,2,1,0,0
116,2,24,1,1
151,0,4,2,0
115,4,10,0,0
250,1,3,2,0
438,4,1,0,0
384,2,1,0,0
461,1,2,0,0
129,7,18,2,1
171,1,0,5,1
699,3,5,3,1
199,2,0,4,1
601,8,5,9,1
107,1,1,0,0
106,5,3,1,0
190,3,3,2,0
259,3,3,2,0
128,2,1,3,1
755,9,6,6,1
32,0,2,1,0
31,1,0,0,0
926,3,22,5,1
515,3,9,1,1
253,2,1,1,0
135,0,3,0,1
965,3,14,8,1
243,2,0,0,0
696,4,3,3,1
116,9,28,9,1
209,1,2,0,0
198,1,7,3,0
43,0,1,1,0
442,1,3,1,0
265,4,2,0,0
83,5,1,2,0
194,1,3,1,0
917,6,2,3,1
255,1,2,0,0
490,5,7,7,1
868,7,5,7,1
165,2,3,5,0
856,3,1,6,1
811,10,10,8,1
207,7,25,8,1
156,4,4,0,1
230,1,2,2,0
275,9,3,5,1
750,2,13,6,1
568,8,20,0,1
322,9,22,9,1
388,5,17,5,1
54,2,11,5,1
898,8,27,8,1
31,0,2,5,0
470,3,22,10,1
841,4,15,9,1
260,0,3,5,0
50,0,3,4,1
626,7,4,4,1
147,4,2,4,1
151,2,3,6,0
160,1,2,2,0
182,1,0,1,0
153,0,3,2,0
468,0,0,0,0
540,6,8,8,1
250,1,4,1,0
933,2,7,3,1
126,1,2,1,0
185,0,2,2,0
168,9,22,0,1
454,2,3,5,0
182,9,27,0,1
97,2,1,1,0
70,4,5,6,1
352,5,23,4,1
355,1,15,5,1
208,4,1,2,0
127,9,17,8,1
806,7,19,3,1
275,0,1,0,0
142,9,24,10,1
257,1,10,1,0
244,2,1,1,0
169,0,2,1,0
346,0,2,9,1
103,10,5,7,1
307,4,26,10,1
142,8,16,1,1
170,2,1,2,0
99,2,21,7,1
239,0,4,2,0
72,2,1,2,0
269,0,1,0,0
272,1,2,1,0
133,2,0,0,0
244,2,0,6,0
94,0,0,0,0
636,9,9,6,1
125,2,3,6,0
743,6,7,0,1
208,7,15,10,1
104,1,10,0,0
310,9,16,1,1
145,0,0,1,0
285,1,2,1,0
182,1,1,1,0
603,10,11,3,1
54,1,3,3,0
295,2,2,1,0
60,1,2,2,0
293,2,6,0,0
199,10,15,4,1
282,0,1,4,0
166,9,29,7,1
601,2,25,5,1
33,2,2,2,0
214,2,21,10,1
943,7,30,4,1
187,4,28,9,1
151,1,3,6,0
162,5,5,9,1
55,2,0,1,0
242,1,1,4,0
30,4,1,1,0
736,2,25,5,1
179,9,29,3,1
871,8,6,6,1
299,9,2,3,1
332,10,13,1,1
161,3,9,3,1
64,1,2,2,0
500,5,8,7,1
533,2,5,4,1
45,0,1,2,0
46,1,5,1,0
776,7,28,7,1
157,0,23,8,1
226,3,19,4,1
107,10,11,1,1
224,4,26,2,1
81,10,24,4,1
159,1,1,1,0
93,1,5,2,0
167,2,3,4,0
475,1,16,4,1
155,9,30,1,1
230,0,2,5,0
586,10,29,2,1
828,8,12,4,1
77,7,4,1,1
796,3,25,2,1
184,2,0,6,0
259,8,21,9,1
260,3,2,1,0
569,3,1,8,1
263,1,0,2,0
331,3,8,10,1
177,6,20,3,1
291,0,3,0,0
842,2,16,4,1
713,2,3,2,1
958,2,2,4,1
112,3,13,7,1
144,0,2,2,0
149,1,8,10,1
26,1,2,3,0
761,3,8,4,1
127,0,2,2,0
112,2,6,0,0
536,9,5,10,1
676,4,9,4,1
194,0,3,5,0
615,9,7,6,1
188,1,7,0,0
737,2,22,1,1
723,8,30,6,1
744,2,23,0,1
250,10,29,5,1
81,10,22,8,1
38,1,3,2,0
533,1,30,5,1
97,2,6,8,1
21,0,2,1,0
199,2,8,2,0
34,2,6,2,0
159,2,3,0,0
221,1,0,0,0
151,1,0,1,0
277,1,10,0,0
205,0,2,1,0
999,3,2,9,1
243,1,1,5,0
892,5,6,5,1
199,2,2,1,0
242,2,2,1,0
718,7,26,3,1
187,4,18,3,1
623,8,10,2,1
87,2,2,1,0
269,2,0,5,0
304,0,4,1,0
305,2,6,10,1
665,8,6,5,1
278,2,3,0,0
107,0,2,0,0
142,5,4,10,1
465,6,12,6,1
210,2,1,0,0
